Artist,Number of Searches
The Clash,344000000
Michael Jackson,896000000
Eurythmics,8560000
Journey,1380000000
Cyndi Lauper,11800000
The Police,2500000000
Daryl Hall & John Oates,24800000
Whitney Houston,93600000
New Kids On The Block,1170000000
Michael Jackson,896000000
George Michael,1110000000
Joan Jett & The Blackhearts,14600000
DEVO,99900000
Michael Jackson,896000000
Billy Joel,121000000
Kenny Loggins,4980000
The Pointer Sisters,8930000
Aretha Franklin,34800000
New Kids On The Block,1170000000
Bruce Springsteen,36800000
Men At Work,4440000000
Dolly Parton,30500000
Toto,1100000000
Wham!,20100000
Daryl Hall & John Oates,24800000
a-ha,5610000000
Peter Gabriel,225000000
Rick Astley,12800000
The Outfield,13300000
Bruce Springsteen,36800000
Nena,117000000
Cyndi Lauper,11800000
AC/DC,1480000000
Scorpions,416000000
Kenny Loggins,4980000
George Michael,1110000000
A Flock Of Seagulls,check
Paul Simon,680000000
Starship,38700000
The Romantics,10200000
Rockwell,73400000
Starship,38700000
Whitney Houston,93600000
Billy Ocean,88600000
Bill Medley,23000000
Chicago,2010000000
Run–D.M.C.,10100
Europe,5040000000
Matthew Wilder,9250000
Men At Work,4440000000
Prince,1260000000
Midnight Oil,123000000
Rick Springfield,20600000
Pat Benatar,4700000
AC/DC,1480000000
Deniece Williams,935000
REO Speedwagon,5440000
Berlin,1360000000
Billy Joel,121000000
Thompson Twins,40900000
Joan Jett & The Blackhearts,14600000
Quiet Riot,17700000
The Romantics,10200000
The Pointer Sisters,8930000
Loverboy,14300000
Journey,1380000000
The Clash,344000000
REO Speedwagon,5440000
Steve Perry,151000000
Bruce Springsteen,36800000
Bow Wow Wow,134000000
"Ray Parker, Jr.",69600000
Eddie Money,109000000
Roy Orbison,10500000
Kenny Loggins,check
The Jacksons,16300000
The Bangles,93100000
Bonnie Tyler,48800000
Dead Or Alive,534000000
The Notorious B.I.G.,91200000
2Pac,35000000
Public Enemy,270000000
Craig Mack,19000000
Missy Elliott,22200000
Nas,1760000000
Naughty By Nature,79000000
Dr. Dre,79200000
The Notorious B.I.G.,91200000
Coolio,6440000
Snoop Dogg,75600000
Lil' Kim,120000000
Digital Underground,173000000
Big Daddy Kane,20200000
House Of Pain,1010000000
Busta Rhymes,11500000
Diddy,20000000
Prince,1260000000
Wreckx-N-Effect,168000
Makaveli,28500000
Luniz,749000
Snoop Dogg,75600000
Queen Latifah,13400000
LL Cool J,529000000
Geto Boys,2630000
2Pac,35000000
The Notorious B.I.G.,91200000
Mobb Deep,5960000
The Pharcyde,1220000
Nas,1760000000
Wu-Tang Clan,20300000
A Tribe Called Quest,22300000
Snow,2270000000
Fugees,3580000
Faith Evans,87200000
Mase,32900000
Cypress Hill,70100000
Sir Mix-A-Lot,43500000
Beastie Boys,14600000
Naughty By Nature,79000000
Public Enemy,270000000
Bell Biv DeVoe,1610000
MC Hammer,55900000
Arrested Development,204000000
LL Cool J,529000000
Total,5190000000
Missy Elliott,22200000
A Tribe Called Quest,19500000
112,3190000000
Big Daddy Kane,20200000
Busta Rhymes,11500000
Mark Morrison,92900000
Biz Markie,1370000
Ol' Dirty Bastard,3330000
Jermaine Dupri,2840000
